Material	SAE	DIN	WNR	KC 1.1 [Mpas]	KC 1.1 [Kpsi]	MC
1006 	1006 	St37 	1.0037 	1350 	196 	0.21
1008 	1008 	St12 	1.0201 	1350 	196 	0.21
1010 	1010 	Ck10 	1.1121 	1350 	196 	0.21
1015 	1015 	C15 	1.0401 	1350 	196 	0.21
1020 	1020 	C22 	1.0402 	1350 	196 	0.21
1022 	1022 	GS.20Mn5 	1.1133 	1350 	196 	0.21
1025 	1025 	Ck25 	1.1158 	1350 	196 	0.21
1035 	1035 	C35 	1.0501 	1500 	218 	0.22
1035 	1035 	Ck35 	1.1183 	1500 	218 	0.22
1039 	1039 	40Mn4 	1.1157 	1500 	218 	0.22
1040 	1040 	C40 	1.0511 	1500 	218 	0.22
1043 				1500 	218 	0.22
1045 	1045 	C45 	1.0503 	1500 	218 	0.22
1049 	1049 	Cm45 	1.1201 	1500 	218 	0.22
1049 	1049/1050 	Ck50 	1.1206 	1500 	218 	0.22
1050 	1050 	Cf53 	1.1213 	1500 	218 	0.22
1050 		Al99,5 	3.0255 	700 	102 	0.25
1055 	1055 	Ck55 	1.1203 	1700 	247 	0.24
105WC13 	O1 	105WCr6 	1.2510 	2450 	355 	0.23
1060 	1060 	C60 	1.0601 	1700 	247 	0.24
1070 	1070 	Ck67 	1.1231 	1700 	247 	0.24
1070 		Al99,7 	3.0275 	700 	102 	0.25
1080 		Al99,8 	3.0128 	700 	102 	0.25
1080 	1080 	Ck75 	1.1248 	1700 	247 	0.24
1086 	1086 	Ck85 	1.1269 	1700 	247 	0.24
1095 	1095 	Ck101 	1.1274 	1700 	247 	0.24
10PbF2 		10SPb20 	1.0722 	1350 	196 	0.21
1100 				700 	102 	0.25
1108 	1108 	10S20 	1.0721 	1675 	243 	0.24
1112 	1112 	10S20 	1.0721 	1675 	243 	0.24
1140 	1140 	35S20 	1.0726 	1675 	243 	0.24
1144 	1144 	44SMn28 	1.0762 	1675 	243 	0.24
1151 	1151 	45S20 	1.0727 	1675 	243 	0.24
120WV10 		120WV4 	1.2516 	2450 	355 	0.23
1213 	1213 	9SMn28 	1.0715 	1675 	243 	0.24
1215 	1215 	9SMn36 	1.0736 	1675 	243 	0.24
12CD4 	A38712-2 	15CrMo5 	1.7262 	1775 	257 	0.24
12L13 	12L13 	9SMnPb28 	1.0718 	1675 	243 	0.24
12L14 	12L14 	9SMnPb36 	1.0737 	1675 	243 	0.24
13-8PH 				2150 	312 	0.20
1330 	1330 	28Mn6 	1.1170 	1500 	218 	0.22
1335 	1335 	36Mn5 	1.1167 	1500 	218 	0.22
15-5PH 	15-5 	X4CrNiCuNb16.4 	1.4540 	2150 	312 	0.20
15-7PH 		X7CrNiMoAl15.7 	1.4532 	2150 	312 	0.20
17-4PH 	630 	X5CrNiCuNb16-4 	1.4542 	2150 	312 	0.20
17-7PH 	177PH 	X7CrNiAl17.7 	1.4568/1.4504 	2150 	312 	0.20
18NCD6 		17CrNiMo6 	1.6587 	1775 	257 	0.24
2011 	2011 	AlCuBiPb 	3.1655 	800 	116 	0.25
2014 	2017 	AlCuSiMn 	3.1255 	800 	116 	0.25
2017 	2017 	AlCuMg1 	3.1325 	800 	116 	0.25
201LN 				2150 	312 	0.20
202 	202 	X3CrMnNiN18-8-7 	1.4371 	2150 	312 	0.20
2024 	2024 	AlCuMg2 	3.1355 	800 	116 	0.25
2050 				750 	109 	0.25
2090 				750 	109 	0.25
2091 				750 	109 	0.25
2094 				750 	109 	0.25
2095 				750 	109 	0.25
2097 				750 	109 	0.25
2098 				750 	109 	0.25
2099 				750 	109 	0.25
20AP 				1500 	218 	0.22
20CB-3 	ASTM B463 			2600 	377 	0.24
20MC5 		16MnSCr5 	1.7139 	1775 	257 	0.24
21-6-9 	ASTM A666 			3100 	450 	0.24
2117 	2117 			800 	116 	0.25
215 				2150 	312 	0.20
2195 	2195 			800 	116 	0.25
2196 				750 	109 	0.25
2197 				750 	109 	0.25
2198 				750 	109 	0.25
2199 				750 	109 	0.25
2218 	2218 	AlCuMgNi2 		800 	116 	0.25
2224 	2224 			800 	116 	0.25
2297 				750 	109 	0.25
22CMSD4 				1500 	218 	0.22
2397 				750 	109 	0.25
2515 	2515 	12Ni19 	1.5680 	1775 	257 	0.24
284 				2150 	312 	0.20
3003 	3003 	AlMnCu 	3.0517 	800 	116 	0.25
3004 	3004 	AlMn1Mg1 	3.0526 	800 	116 	0.25
3005 	3005 	AlMn1Mg0.5 	3.0525 	800 	116 	0.25
301 	301 	X12CrNi17-7 	1.4310 	2150 	312 	0.20
302 	302 	X12CrNi18-9 	1.4319 	2150 	312 	0.20
303 	303 	X8CrNiS18-9 	1.4305 	2150 	312 	0.20
304 	304 	X5CrNi18-9 	1.4350 	2150 	312 	0.20
304 L 	304L 		1.4306 	2150 	312 	0.20
304 LN 	304LN 	X2CrNiN18-10 	1.4311 	2150 	312 	0.20
305 	305 	X8CrNi18-12 	1.4312 	2150 	312 	0.20
309 	309 	X15CrNiSi20-12 	1.4828 	2150 	312 	0.20
309 S 	309 S 	X7CrNi23-14 	1.4833 	2150 	312 	0.20
30CD12 		32CrMo12 	1.8515 	1775 	257 	0.24
310 S 	310S 	X12CrNi25-20 	1.4845 	2150 	312 	0.20
3103 	3103 	AlMn1 	3.0515 	800 	116 	0.25
3105 	3105 			800 	116 	0.25
311 				2150 	312 	0.20
3115 	3115 	15CrNi6 	1.5919 	1775 	257 	0.24
3135 	3135 	36NiCr6 	1.5710 	1500 	218 	0.22
314 	30314 	X15CrNiSi25-20 	1.4841 	2150 	312 	0.20
315 				2150 	312 	0.20
316 	316 	X5CrNiMo17-13-3 	1.4401 	2150 	312 	0.20
316 L 	316L 	X2CrNiMo18-12 	1.4404 	2150 	312 	0.20
316 LN 	316LN 	X2CrNiMoN18-13 	1.4429 	2150 	312 	0.20
316 LXN 		X2CrNiMoN17-13-3 	1.4429 	2150 	312 	0.20
316 Ti 	316Ti 	X8CrNiMoTi17-12-2 	1.4571 	2150 	312 	0.20
316L (S+Cu) 		X2CrNiMo17-12-2+S+Cu 		2150 	312 	0.20
316L Decolletage 		X2CrNiMo17-12-2 improved 		2150 	312 	0.20
317 	317 	X5CrNiMo17-13 	1.4449 	2150 	312 	0.20
317 L 	317L 	X2CrNiMo18-16 	1.4438 	2150 	312 	0.20
318 	318 	X10CrNiMoNb18-12 	1.4583 	2150 	312 	0.20
320 				2150 	312 	0.20
321 	321 	X10CrNiTi18-9 	1.4541 	2150 	312 	0.20
321 H 		X8CrNiTi18-10 		2150 	312 	0.20
325 				2150 	312 	0.20
326 				2150 	312 	0.20
329 	329 	X8CrNiMo27-5 	1.4460 	2150 	312 	0.20
330 	330 	X12NiCrSi36-16 	1.4864 	2150 	312 	0.20
331 				2150 	312 	0.20
332 				2150 	312 	0.20
334 	70334 	X8CrNiAlTi20-20 		2150 	312 	0.20
3415 	3415 	14NiCr10 	1.5732 	1500 	218 	0.22
3415 	3415 	14NiCr14 	1.5752 	1775 	257 	0.24
347 	347 	X10CrNiNb18-9 	1.4550 	2150 	312 	0.20
348 		X5CrNiNb18-10 	1.4546 	2150 	312 	0.20
35NCD14 				1500 	218 	0.22
38C2 		38Cr2 	1.7003 	1775 	257 	0.24
394 				2150 	312 	0.20
403 	403 	X7Cr13 	1.4000 	1875 	272 	0.21
4032 	4032 			800 	116 	0.25
403Cb 	403Cb 			1875 	272 	0.21
403Cb+ 		X19CrMoVNb11-1 	1.4914 	1875 	272 	0.21
405 	405 	X10CrAl13 	1.4724 	1875 	272 	0.21
409 	409 	X6CrTi12 	1.4510 	1875 	272 	0.21
409 Cb 				1875 	272 	0.21
409 HP 				1875 	272 	0.21
40CMD8 		40CrMnMo7 	1.2311 	2450 	355 	0.23
40CrMnNiMo8 		40CrMnNiMo8 	1.2738 	1775 	257 	0.24
410 	410 	X10Cr13 	1.4006 	1875 	272 	0.21
410S 				1875 	272 	0.21
4130 	4130 	25CrMo4 	1.7218 	1775 	257 	0.24
4137 	4137 	34CrMo4 	1.7220 	1775 	257 	0.24
4140 	4140 	42CrMo4 	1.7225 	1775 	257 	0.24
4142 	4142 	41CrMo4 	1.7223 	1775 	257 	0.24
4150 	4150 	50CrMo4 	1.7228 	1775 	257 	0.24
416 	41600 	X12CrS13 	1.4005 	1875 	272 	0.21
420 	420 	X20Cr13 	1.4021 	1875 	272 	0.21
420F 	420F 	X30Cr13 	1.4028 	1875 	272 	0.21
425 				1875 	272 	0.21
429 	429 			1875 	272 	0.21
430 	430 	X8Cr17 	1.4016 	1875 	272 	0.21
430F 	430F 	X12CrMoS17 	1.4104 	1875 	272 	0.21
431 	431 	X22CrNi17 	1.4057 	1875 	272 	0.21
431 (HT) 	431 	X17CrNi16-2 	1.4057 	4600 	667 	0.25
433 				1875 	272 	0.21
434 	434 	X6CrMo17 	1.4113 	1875 	272 	0.21
4340 	4340 	35CrNiMo6 	1.6582 	1775 	257 	0.24
436S 				1875 	272 	0.21
439 HP 				1875 	272 	0.21
